               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12812,            0.055765,            0.031224,                   0,                   0,                   0,                   0,             0.11904,            0.046493,            0.030304,              0.0003,              0.0003,              0.0973
                   1,             0.12568,            0.049403,            0.030658,                   0,                   0,                   0,                   0,             0.11459,            0.048226,            0.029536,          0.00069769,          0.00069769,            0.093698
                   2,             0.12142,             0.05654,            0.029568,                   0,                   0,                   0,                   0,             0.10919,            0.050738,            0.028431,           0.0010927,           0.0010927,            0.090093
                   3,              0.1153,            0.056474,            0.028373,                   0,                   0,                   0,                   0,             0.10182,            0.053802,            0.027505,           0.0014851,           0.0014851,            0.086485
                   4,             0.10865,            0.064057,            0.027066,                   0,                   0,                   0,                   0,            0.096624,            0.055231,            0.026812,           0.0018749,           0.0018749,            0.082875
                   5,             0.10605,            0.060917,            0.026221,                   0,                   0,                   0,                   0,             0.09588,            0.053979,            0.025984,           0.0022621,           0.0022621,            0.079262
                   6,             0.10348,            0.059854,            0.025261,            0.011123,            0.016129,           0.0021486,          0.00074113,            0.094566,            0.052406,            0.024883,           0.0026465,           0.0026465,            0.075647
                   7,            0.098958,             0.06776,            0.023827,                   0,                   0,                   0,                   0,            0.094103,            0.049506,            0.023633,           0.0030284,           0.0030284,            0.072028
                   8,             0.09646,            0.063496,             0.02285,            0.051203,            0.059607,            0.029254,           0.0044314,            0.085022,            0.048164,            0.022461,           0.0034076,           0.0034076,            0.068408
                   9,            0.092069,            0.058305,            0.021795,             0.28417,            0.059607,            0.052029,           0.0059235,            0.086879,            0.045556,            0.021859,           0.0037842,           0.0037842,            0.064784
                  10,            0.086245,            0.048529,            0.021382,              0.1721,            0.051543,            0.029946,           0.0034653,             0.09187,            0.056525,            0.021724,           0.0041581,           0.0041581,            0.061158
                  11,            0.087838,            0.044505,            0.022964,            0.067811,            0.059607,            0.019422,           0.0041897,             0.10437,            0.078894,            0.021636,           0.0045294,           0.0045294,            0.057529
                  12,             0.08415,            0.044007,            0.022288,            0.033068,            0.059607,            0.014868,           0.0027529,            0.092051,             0.06243,            0.021077,            0.004898,            0.004898,            0.053898
                  13,             0.09784,            0.040177,            0.021326,             0.25634,            0.051543,            0.031998,           0.0094596,             0.10286,            0.046492,             0.02073,            0.005264,            0.005264,            0.050264
                  14,            0.094563,            0.040349,            0.022514,            0.085568,            0.037868,            0.021666,           0.0046098,             0.10765,             0.04327,            0.020894,           0.0056274,           0.0056274,            0.046627
                  15,            0.099353,            0.035159,            0.021214,             0.22925,            0.059607,            0.056998,            0.012098,            0.096876,            0.038867,            0.020367,           0.0059881,           0.0059881,            0.042988
                  16,            0.091639,            0.043219,            0.020874,            0.077394,             0.13534,            0.045897,            0.016639,            0.093549,            0.043981,            0.020359,           0.0063462,           0.0063462,            0.039346
                  17,            0.080386,            0.046283,            0.020817,             0.29203,             0.21273,            0.078336,            0.017708,             0.10444,             0.03947,            0.020278,           0.0067017,           0.0067017,            0.035702
                  18,            0.094269,            0.040782,            0.021924,            0.025936,             0.24264,            0.017176,           0.0036404,            0.090891,            0.037773,            0.020005,           0.0070545,           0.0070545,            0.032054
                  19,            0.091266,            0.036942,            0.021613,              0.1598,             0.19109,            0.036608,           0.0071889,            0.087229,             0.03623,            0.020029,           0.0074047,           0.0074047,            0.028405
                  20,            0.077023,             0.03829,            0.020924,             0.08302,              0.2507,            0.043277,            0.013112,            0.095347,            0.041173,            0.019381,           0.0077522,           0.0077522,            0.024752
                  21,            0.083984,            0.039183,            0.019751,            0.011772,             0.32959,           0.0081853,           0.0016253,             0.10703,            0.032783,            0.019172,           0.0080971,           0.0080971,            0.021097
                  22,              0.1015,            0.033655,            0.019783,            0.067037,              0.2216,            0.045199,            0.017202,             0.10643,            0.028939,            0.019111,           0.0084393,           0.0084393,            0.017439
